PS C:\Users\user\Downloads> python main.py --use_per True
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 13: 46.0
Episode 14: 50.0
Episode 15: 54.0
Episode 16: 87.0
Episode 17: 81.0
Episode 18: 70.0
Episode 19: 55.0
Episode 20: 55.0
Episode 21: 73.0
Episode 22: 94.0
Episode 23: 96.0
Episode 24: 66.0
Episode 25: 175.0
Episode 26: 79.0
Episode 27: 210.0
Episode 28: 159.0
Episode 29: 232.0
Episode 30: 250.0
Episode 31: 287.0
Episode 32: 317.0
Episode 33: 325.0
Episode 34: 330.0
Episode 35: 337.0
Episode 36: 500.0
Episode 37: 288.0
Episode 38: 500.0
Episode 39: 349.0
Episode 40: 446.0
Episode 41: 475.0
Episode 42: 486.0
Episode 43: 337.0
Episode 44: 473.0
Episode 45: 413.0
Episode 46: 500.0
Episode 47: 447.0
Episode 48: 500.0
Episode 49: 455.0
Episode 50: 500.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 191.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
Episode 64: 500.0
END train function
Minimum number of episodes for 475 : 64, Average of 20 episodes reward : 475.3
END main function
Average number of episodes for 475 : 59.8
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads> python main.py --use_per True
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 10.0
Episode 1: 20.0
Episode 2: 24.0
Episode 3: 18.0
Episode 4: 36.0
Episode 5: 31.0
Episode 6: 15.0
Episode 7: 50.0
Episode 8: 193.0
Episode 9: 122.0
Episode 10: 67.0
Episode 11: 39.0
Episode 12: 73.0
Episode 13: 58.0
Episode 14: 35.0
Episode 15: 77.0
Episode 16: 61.0
Episode 17: 104.0
Episode 18: 108.0
Episode 19: 47.0
Episode 20: 91.0
Episode 21: 107.0
Episode 22: 189.0
Episode 23: 500.0
Episode 24: 270.0
Episode 25: 387.0
Episode 26: 267.0
Episode 27: 285.0
Episode 28: 422.0
Episode 29: 318.0
Episode 30: 294.0
Episode 31: 321.0
Episode 32: 500.0
Episode 33: 500.0
Episode 34: 500.0
Episode 35: 395.0
Episode 36: 500.0
Episode 37: 378.0
Episode 38: 430.0
Episode 39: 368.0
Episode 40: 496.0
Episode 41: 500.0
Episode 42: 482.0
Episode 43: 461.0
Episode 44: 500.0
