PS C:\Users\user\Downloads> python main.py
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
Episode 64: 500.0
END train function
Minimum number of episodes for 475 : 64, Average of 20 episodes reward : 481.25
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 13.0
Episode 1: 16.0
Episode 2: 23.0
Episode 3: 9.0
Episode 4: 23.0
Episode 5: 22.0
Episode 6: 75.0
Episode 7: 60.0
Episode 8: 60.0
Episode 9: 62.0
Episode 10: 36.0
Episode 11: 19.0
Episode 12: 45.0
Episode 13: 42.0
Episode 14: 32.0
Episode 15: 111.0
Episode 16: 44.0
Episode 17: 78.0
Episode 18: 52.0
Episode 19: 57.0
Episode 20: 61.0
Episode 21: 77.0
Episode 22: 79.0
Episode 23: 96.0
Episode 24: 69.0
Episode 25: 95.0
Episode 26: 116.0
Episode 27: 229.0
Episode 28: 201.0
Episode 29: 218.0
Episode 30: 229.0
Episode 31: 262.0
Episode 32: 306.0
Episode 33: 292.0
Episode 34: 267.0
Episode 35: 273.0
Episode 36: 384.0
Episode 37: 245.0
Episode 38: 500.0
Episode 39: 323.0
Episode 40: 376.0
Episode 41: 448.0
Episode 42: 395.0
Episode 43: 310.0
Episode 44: 402.0
Episode 45: 444.0
Episode 46: 471.0
Episode 47: 340.0
Episode 48: 500.0
Episode 49: 402.0
Episode 50: 420.0
Episode 51: 435.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 494.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 500.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
Episode 64: 500.0
END train function
Minimum number of episodes for 475 : 64, Average of 20 episodes reward : 475.3
END main function
Average number of episodes for 475 : 65.0
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads>
PS C:\Users\user\Downloads> python main.py
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 20.0
Episode 1: 36.0
Episode 2: 45.0
Episode 3: 21.0
Episode 4: 21.0
Episode 5: 11.0
Episode 6: 24.0
Episode 7: 28.0
Episode 8: 39.0
Episode 9: 65.0
Episode 10: 53.0
Episode 11: 118.0
Episode 12: 73.0
Episode 13: 55.0
Episode 14: 48.0
Episode 15: 128.0
Episode 16: 54.0
Episode 17: 84.0
Episode 18: 84.0
Episode 19: 46.0
Episode 20: 72.0
Episode 21: 60.0
Episode 22: 92.0
Episode 23: 98.0
Episode 24: 81.0
Episode 25: 230.0
Episode 26: 215.0
Episode 27: 243.0
Episode 28: 268.0
Episode 29: 285.0
Episode 30: 500.0
Episode 31: 321.0
Episode 32: 390.0
Episode 33: 285.0
Episode 34: 500.0
Episode 35: 291.0
Episode 36: 315.0
Episode 37: 302.0
Episode 38: 372.0
Episode 39: 342.0
Episode 40: 357.0
Episode 41: 479.0
Episode 42: 408.0
Episode 43: 335.0
Episode 44: 433.0
Episode 45: 429.0
Episode 46: 435.0
Episode 47: 374.0
Episode 48: 500.0
Episode 49: 493.0
Episode 50: 500.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 500.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
END train function
Minimum number of episodes for 475 : 63, Average of 20 episodes reward : 483.2
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 32.0
Episode 1: 45.0
Episode 2: 33.0
Episode 3: 19.0
Episode 4: 22.0
Episode 5: 26.0
Episode 6: 23.0
Episode 7: 46.0
Episode 8: 48.0
Episode 9: 62.0
Episode 10: 62.0
Episode 11: 32.0
Episode 12: 46.0
Episode 13: 65.0
Episode 14: 28.0
Episode 15: 42.0
Episode 16: 50.0
Episode 17: 47.0
Episode 18: 102.0
Episode 19: 54.0
Episode 20: 148.0
Episode 21: 50.0
Episode 22: 181.0
Episode 23: 96.0
Episode 24: 163.0
Episode 25: 452.0
Episode 26: 347.0
Episode 27: 267.0
Episode 28: 329.0
Episode 29: 270.0
Episode 30: 487.0
Episode 31: 246.0
Episode 32: 432.0
Episode 33: 405.0
Episode 34: 500.0
Episode 35: 333.0
Episode 36: 443.0
Episode 37: 317.0
Episode 38: 500.0
Episode 39: 341.0
Episode 40: 449.0
Episode 41: 458.0
Episode 42: 413.0
Episode 43: 391.0
Episode 44: 487.0
Episode 45: 460.0
Episode 46: 500.0
Episode 47: 500.0
Episode 48: 500.0
Episode 49: 469.0
Episode 50: 500.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
